Nr.,Unternehmen,Fachrichtung,Teilnehmer,Veranstaltung,Fruehester Zeitpunkt
1,"Mack, Chase and Salazar",Health service manager,20,3,"['E', 'C', 'D', 'B', 'A']"
2,"Taylor, Kemp and Henderson",Fast food restaurant manager,20,4,"['C', 'E', 'A', 'B', 'D']"
3,Bridges LLC,Neurosurgeon,20,4,"['B', 'A', 'E', 'D']"
4,Bradford Ltd,Lawyer,20,3,['B']
5,Johnson PLC,"Therapist, horticultural",20,4,"['C', 'A']"
6,Moore-Jones,"Nurse, children's",20,4,['B']
7,Palmer Group,Neurosurgeon,20,3,"['E', 'D', 'A']"
8,Grant PLC,Customer service manager,20,4,"['C', 'B']"
9,Aguirre-Wagner,Clothing/textile technologist,20,4,"['B', 'E', 'C']"
10,Carpenter LLC,Theme park manager,20,4,"['A', 'D']"
